variable,description,decade,pos_label,neg_label,pos_pct,n_valid,year_min,year_max,n_years,trend,was_flipped,question,stat_label,category,confidence,review_note,audit_action,audit_problem,audit_problem_detail,audit_reframe,audit_flip_error,audit_flip_note,review_status
evwork,ever work as long as one year,1970s,yes,no,0.768,4412,1972,2024,35,0.1237,False,What % of Americans surveyed have ever worked for at least one year?,Ever worked as long as one year,Work,1,,keep_as_is,,,,False,,pending
evwork,ever work as long as one year,1980s,yes,no,0.8106,5148,1972,2024,35,0.1237,False,What % of Americans surveyed have ever worked for at least one year?,Ever worked as long as one year,Work,1,,keep_as_is,,,,False,,pending
evwork,ever work as long as one year,1990s,yes,no,0.8444,4164,1972,2024,35,0.1237,False,What % of Americans surveyed have ever worked for at least one year?,Ever worked as long as one year,Work,1,,keep_as_is,,,,False,,pending
evwork,ever work as long as one year,2000s,yes,no,0.8612,4752,1972,2024,35,0.1237,False,What % of Americans surveyed have ever worked for at least one year?,Ever worked as long as one year,Work,1,,keep_as_is,,,,False,,pending
evwork,ever work as long as one year,2010s,yes,no,0.8722,4132,1972,2024,35,0.1237,False,What % of Americans surveyed have ever worked for at least one year?,Ever worked as long as one year,Work,1,,keep_as_is,,,,False,,pending
evwork,ever work as long as one year,2020s,yes,no,0.8917,4147,1972,2024,35,0.1237,False,What % of Americans surveyed have ever worked for at least one year?,Ever worked as long as one year,Work,1,,keep_as_is,,,,False,,pending
wrkslf,r self-emp or works for somebody,1970s,self-employed,someone else,0.0993,9670,1972,2024,35,-0.0193,True,What % of Americans surveyed are currently self-employed rather than working for someone else?,Currently self-employed,Work,1,,keep_as_is,,,,False,,pending
wrkslf,r self-emp or works for somebody,1980s,self-employed,someone else,0.1195,13291,1972,2024,35,-0.0193,True,What % of Americans surveyed are currently self-employed rather than working for someone else?,Currently self-employed,Work,1,,keep_as_is,,,,False,,pending
wrkslf,r self-emp or works for somebody,1990s,self-employed,someone else,0.121,12486,1972,2024,35,-0.0193,True,What % of Americans surveyed are currently self-employed rather than working for someone else?,Currently self-employed,Work,1,,keep_as_is,,,,False,,pending
wrkslf,r self-emp or works for somebody,2000s,self-employed,someone else,0.1197,14268,1972,2024,35,-0.0193,True,What % of Americans surveyed are currently self-employed rather than working for someone else?,Currently self-employed,Work,1,,keep_as_is,,,,False,,pending
wrkslf,r self-emp or works for somebody,2010s,self-employed,someone else,0.1121,11303,1972,2024,35,-0.0193,True,What % of Americans surveyed are currently self-employed rather than working for someone else?,Currently self-employed,Work,1,,keep_as_is,,,,False,,pending
