"variable","decade","years_asked"
"wrkstat","1970s","1972, 1973, 1974, 1975, 1976, 1977, 1978"
"wrkstat","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"wrkstat","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"wrkstat","2000s","2000, 2002, 2004, 2006, 2008"
"wrkstat","2010s","2010, 2012, 2014, 2016, 2018"
"wrkstat","2020s","2021, 2022, 2024"
"evwork","1970s","1972, 1973, 1974, 1975, 1976, 1977, 1978"
"evwork","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"evwork","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"evwork","2000s","2000, 2002, 2004, 2006, 2008"
"evwork","2010s","2010, 2012, 2014, 2016, 2018"
"evwork","2020s","2021, 2022, 2024"
"wrkslf","1970s","1972, 1973, 1974, 1975, 1976, 1977, 1978"
"wrkslf","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"wrkslf","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"wrkslf","2000s","2000, 2002, 2004, 2006, 2008"
"wrkslf","2010s","2010, 2012, 2014, 2016, 2018"
"wrkslf","2020s","2021, 2022, 2024"
"wrkgovt","1980s","1985, 1986"
"wrkgovt","2000s","2000, 2002, 2004, 2006, 2008"
"wrkgovt","2010s","2010, 2012, 2014, 2016, 2018"
"found","1970s","1972, 1973, 1974, 1975, 1976, 1977, 1978"
"found","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"found","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"found","2000s","2000, 2002, 2004, 2006, 2008"
"found","2010s","2010"
"occindv","1970s","1972, 1973, 1974, 1975, 1976, 1977, 1978"
"occindv","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"occindv","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"occindv","2000s","2000, 2002, 2004, 2006, 2008"
"occindv","2010s","2010"
"occstatus","1970s","1972, 1973, 1974, 1975, 1976, 1977, 1978"
"occstatus","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"occstatus","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"occstatus","2000s","2000, 2002, 2004, 2006, 2008"
"occstatus","2010s","2010"
"occtag","1970s","1972, 1973, 1974, 1975, 1976, 1977, 1978"
"occtag","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"occtag","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"occtag","2000s","2000, 2002, 2004, 2006, 2008"
"occtag","2010s","2010"
"indstatus","1970s","1972, 1973, 1974, 1975, 1976, 1977, 1978"
"indstatus","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"indstatus","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"indstatus","2000s","2000, 2002, 2004, 2006, 2008"
"indstatus","2010s","2010"
"indtag","1970s","1972, 1973, 1974, 1975, 1976, 1977, 1978"
"indtag","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"indtag","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"indtag","2000s","2000, 2002, 2004, 2006, 2008"
"indtag","2010s","2010"
"marital","1970s","1972, 1973, 1974, 1975, 1976, 1977, 1978"
"marital","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"marital","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"marital","2000s","2000, 2002, 2004, 2006, 2008"
"marital","2010s","2010, 2012, 2014, 2016, 2018"
"marital","2020s","2021, 2022, 2024"
"martype","2010s","2012, 2014, 2016, 2018"
"martype","2020s","2021, 2022, 2024"
"divorce","1970s","1972, 1973, 1974, 1975, 1976, 1977, 1978"
"divorce","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"divorce","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"divorce","2000s","2000, 2002, 2004, 2006, 2008"
"divorce","2010s","2010, 2012, 2014, 2016, 2018"
"divorce","2020s","2021, 2022, 2024"
"widowed","1980s","1987, 1988, 1989"
"widowed","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"widowed","2000s","2000, 2002, 2004, 2006, 2008"
"widowed","2010s","2010, 2012, 2014, 2016, 2018"
"widowed","2020s","2021, 2022, 2024"
"spwrksta","1970s","1972, 1973, 1974, 1975, 1976, 1977, 1978"
"spwrksta","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"spwrksta","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"spwrksta","2000s","2000, 2002, 2004, 2006, 2008"
"spwrksta","2010s","2010, 2012, 2014, 2016, 2018"
"spwrksta","2020s","2021, 2022, 2024"
"spevwork","1970s","1972, 1973, 1974, 1975, 1976, 1977, 1978"
"spevwork","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"spevwork","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"spevwork","2000s","2000, 2002, 2004, 2006, 2008"
"spevwork","2010s","2010, 2012, 2014, 2016, 2018"
"spevwork","2020s","2021, 2022, 2024"
"cowrksta","2010s","2012, 2014, 2016, 2018"
"cowrksta","2020s","2021, 2022, 2024"
"cowrkslf","2010s","2012, 2014, 2016, 2018"
"cowrkslf","2020s","2021, 2022, 2024"
"spwrkslf","1970s","1972, 1973, 1974, 1975, 1976, 1977, 1978"
"spwrkslf","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"spwrkslf","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"spwrkslf","2000s","2000, 2002, 2004, 2006, 2008"
"spwrkslf","2010s","2010, 2012, 2014, 2016, 2018"
"spwrkslf","2020s","2021, 2022, 2024"
"spoccindv","1970s","1972, 1973, 1974, 1975, 1976, 1977, 1978"
"spoccindv","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"spoccindv","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"spoccindv","2000s","2000, 2002, 2004, 2006, 2008"
"spoccindv","2010s","2010"
"spoccstatus","1970s","1972, 1973, 1974, 1975, 1976, 1977, 1978"
"spoccstatus","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"spoccstatus","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"spoccstatus","2000s","2000, 2002, 2004, 2006, 2008"
"spoccstatus","2010s","2010"
"spocctag","1970s","1972, 1973, 1974, 1975, 1976, 1977, 1978"
"spocctag","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"spocctag","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"spocctag","2000s","2000, 2002, 2004, 2006, 2008"
"spocctag","2010s","2010"
"spindstatus","1970s","1972, 1973, 1974, 1975, 1976, 1977, 1978"
"spindstatus","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"spindstatus","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"spindstatus","2000s","2000, 2002, 2004, 2006, 2008"
"spindstatus","2010s","2010"
"spindtag","1970s","1972, 1973, 1974, 1975, 1976, 1977, 1978"
"spindtag","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"spindtag","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"spindtag","2000s","2000, 2002, 2004, 2006, 2008"
"spindtag","2010s","2010"
"pawrkslf","1970s","1972, 1973, 1974, 1975, 1976, 1977, 1978"
"pawrkslf","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"pawrkslf","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"pawrkslf","2000s","2000, 2002, 2004, 2006, 2008"
"pawrkslf","2010s","2010, 2012, 2014, 2016, 2018"
"pawrkslf","2020s","2021, 2022, 2024"
"paoccindv","1970s","1972, 1973, 1974, 1975, 1976, 1977, 1978"
"paoccindv","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"paoccindv","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"paoccindv","2000s","2000, 2002, 2004, 2006, 2008"
"paoccindv","2010s","2010"
"paoccstatus","1970s","1972, 1973, 1974, 1975, 1976, 1977, 1978"
"paoccstatus","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"paoccstatus","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"paoccstatus","2000s","2000, 2002, 2004, 2006, 2008"
"paoccstatus","2010s","2010"
"paocctag","1970s","1972, 1973, 1974, 1975, 1976, 1977, 1978"
"paocctag","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"paocctag","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"paocctag","2000s","2000, 2002, 2004, 2006, 2008"
"paocctag","2010s","2010"
"paindstatus","1970s","1972, 1973, 1974, 1975, 1976, 1977, 1978"
"paindstatus","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"paindstatus","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"paindstatus","2000s","2000, 2002, 2004, 2006, 2008"
"paindstatus","2010s","2010"
"paindtag","1970s","1972, 1973, 1974, 1975, 1976, 1977, 1978"
"paindtag","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"paindtag","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"paindtag","2000s","2000, 2002, 2004, 2006, 2008"
"paindtag","2010s","2010"
"mawrkslf","1990s","1994, 1996, 1998"
"mawrkslf","2000s","2000, 2002, 2004, 2006, 2008"
"mawrkslf","2010s","2010, 2012, 2014, 2016, 2018"
"mawrkslf","2020s","2021, 2022, 2024"
"maoccindv","1970s","1972, 1973, 1974, 1975, 1976, 1977, 1978"
"maoccindv","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"maoccindv","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"maoccindv","2000s","2000, 2002, 2004, 2006, 2008"
"maoccindv","2010s","2010"
"maoccstatus","1970s","1972, 1973, 1974, 1975, 1976, 1977, 1978"
"maoccstatus","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"maoccstatus","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"maoccstatus","2000s","2000, 2002, 2004, 2006, 2008"
"maoccstatus","2010s","2010"
"maocctag","1970s","1972, 1973, 1974, 1975, 1976, 1977, 1978"
"maocctag","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"maocctag","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"maocctag","2000s","2000, 2002, 2004, 2006, 2008"
"maocctag","2010s","2010"
"maindstatus","1970s","1972, 1973, 1974, 1975, 1976, 1977, 1978"
"maindstatus","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"maindstatus","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"maindstatus","2000s","2000, 2002, 2004, 2006, 2008"
"maindstatus","2010s","2010"
"maindtag","1970s","1972, 1973, 1974, 1975, 1976, 1977, 1978"
"maindtag","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"maindtag","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"maindtag","2000s","2000, 2002, 2004, 2006, 2008"
"maindtag","2010s","2010"
"sibs","1970s","1972, 1973, 1974, 1975, 1976, 1977, 1978"
"sibs","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"sibs","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"sibs","2000s","2000, 2002, 2004, 2006, 2008"
"sibs","2010s","2010, 2012, 2014, 2016, 2018"
"sibs","2020s","2021, 2022, 2024"
"childs","1970s","1972, 1973, 1974, 1975, 1976, 1977, 1978"
"childs","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"childs","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"childs","2000s","2000, 2002, 2004, 2006, 2008"
"childs","2010s","2010, 2012, 2014, 2016, 2018"
"childs","2020s","2021, 2022, 2024"
"codeg","2010s","2012, 2014, 2016, 2018"
"codeg","2020s","2021, 2022, 2024"
"degree","1970s","1972, 1973, 1974, 1975, 1976, 1977, 1978"
"degree","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"degree","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"degree","2000s","2000, 2002, 2004, 2006, 2008"
"degree","2010s","2010, 2012, 2014, 2016, 2018"
"degree","2020s","2021, 2022, 2024"
"padeg","1970s","1972, 1973, 1974, 1975, 1976, 1977, 1978"
"padeg","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"padeg","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"padeg","2000s","2000, 2002, 2004, 2006, 2008"
"padeg","2010s","2010, 2012, 2014, 2016, 2018"
"padeg","2020s","2021, 2022, 2024"
"madeg","1970s","1972, 1973, 1974, 1975, 1976, 1977, 1978"
"madeg","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"madeg","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"madeg","2000s","2000, 2002, 2004, 2006, 2008"
"madeg","2010s","2010, 2012, 2014, 2016, 2018"
"madeg","2020s","2021, 2022, 2024"
"spdeg","1970s","1972, 1973, 1974, 1975, 1976, 1977, 1978"
"spdeg","1980s","1980, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989"
"spdeg","1990s","1990, 1991, 1993, 1994, 1996, 1998"
"spdeg","2000s","2000, 2002, 2004, 2006, 2008"
"spdeg","2010s","2010, 2012, 2014, 2016, 2018"
"spdeg","2020s","2021, 2022, 2024"
"dipged","2010s","2012, 2014, 2016, 2018"
"dipged","2020s","2021, 2022, 2024"
"spdipged","2010s","2012, 2014, 2016"
"codipged","2010s","2012, 2014, 2016"
"sector","2010s","2012, 2014, 2016"
"eftotlt","2010s","2012, 2014, 2016"
"barate","2010s","2012, 2014, 2016"
"gradtounder","2010s","2012, 2014, 2016"
"voedcol","2010s","2012, 2014, 2016"
"voedncol","2010s","2012, 2014, 2016"
